"lang	form	an3_notflat	n3	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CBXmNvn1	-8.78271867908	-8.84516464896	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXmNvn1	-8.65779744006	-8.66891204987	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXlLvo1	-8.84694199318	-8.8902037872	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXrNvo1	-9.57100771455	-9.73174020129	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXtNfo1	-8.3675556662	-8.39925111732	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CKXtNfo1	-9.08255641999	-9.11314899726	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXsNfo1	-9.25800505939	-9.27649799771	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CBXmNvn1	-9.94846632391	-10.0074352725	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXmNvn1	-9.35240884544	-9.37121616943	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXlLvo1	-8.64966276181	-8.66486648693	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXrNvo1	-10.3352964842	-10.3914176596	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXtNfo1	-10.2734892236	-10.1925503284	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CKXtNfo1	-9.55472298294	-9.51851949092	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXsNfo1	-10.3285521634	-10.8506768096	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CBXmNvn1	-9.70214515099	-9.88695672737	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXmNvn1	-9.11028360738	-9.10184159411	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXlLvo1	-11.094634581	-11.1196303479	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXrNvo1 CTXtNfo1	-12.9777985442	-13.090517439	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXrNvo1 CKXtNfo1	-16.9717301673	-17.1338396138	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXrNvo1 CTXsNfo1	-14.58168055	-14.7846783583	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXlLvo1 CTXtNfo1	-12.9433700151	-13.0041780439	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXlLvo1 CTXsNfo1	-15.0046657552	-15.1133130465	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.3819906217	-11.4100751185	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-13.9379574776	-13.9939667636	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-12.8550123447	-12.8708974397	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-14.1429328863	-14.1865217116	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-10.649963683	-10.6481238386	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXmNvn1 CTXsNfo1	-11.7292229153	-11.7479148318	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-9.52927982138	-9.51355582321	"
"CMUDict10000	CTXsNfo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.1464011396	-11.1558597973	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-10.3739316767	-10.3532718255	"
"CMUDict10000	CTXsNfo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-10.8929252258	-10.8930702876	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXtNfo1	-8.51549873488	-8.54121009652	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CKXtNfo1	-7.77813572947	-7.79529466502	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXsNfo1	-7.94936690023	-7.95286843126	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CBXmNvn1	-12.2797443845	-12.9639340596	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXmNvn1	-7.83023350849	-7.83801813327	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXlLvo1	-8.04372088329	-8.07305144794	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXrNvo1	-9.35408835203	-9.5236081324	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXtNfo1	-7.98878923309	-8.02895005929	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CKXtNfo1	-9.72360212745	-9.83461813385	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXsNfo1	-10.1455836726	-10.0341854542	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CBXmNvn1	-11.0383963208	-11.0802000558	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXmNvn1	-9.06392720823	-9.166442332	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXlLvo1	-8.9883159634	-8.99738592219	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXrNvo1	-9.48390386746	-9.47474515602	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXtNfo1	-9.79625051664	-9.77035234756	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CKXtNfo1	-8.43980333444	-8.44182316346	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXsNfo1	-9.11082089585	-9.27172330132	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CBXmNvn1	-10.2539655364	-10.5941953103	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXmNvn1	-8.48178010463	-8.47455150434	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXlLvo1	-10.9186805622	-10.9664647001	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXrNvo1 CTXtNfo1	-12.7608791199	-12.8823853701	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXrNvo1 CKXtNfo1	-16.7548092691	-16.9257075449	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXrNvo1 CTXsNfo1	-14.3647610891	-14.5765462894	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXlLvo1 CTXtNfo1	-12.140148891	-12.1870257047	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXlLvo1 CTXsNfo1	-14.201444625	-14.2961607072	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.7206438116	-11.7425945537	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.2766106531	-14.3264861989	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-12.6790582735	-12.7177317918	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-13.9669788066	-14.0333560637	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-9.82239975117	-9.81722992198	"
"CMUDict10000	CBXmNvn1 VEYuNvo1 CTXmNvn1 CTXsNfo1	-10.9016589831	-10.9170209152	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-9.24079818242	-9.30878198578	"
"CMUDict10000	CBXmNvn1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-10.8579194989	-10.9510859599	"
